Date,CLOSE,Dividend,SplitFactor,CumulativeDividend,cum_factor
2011-02-16,363.130000,0.000000,1.000000,0.000000,1.000000
2011-02-17,358.300000,0.000000,1.000000,0.000000,1.000000
2011-02-18,350.560000,0.000000,1.000000,0.000000,1.000000
2011-02-22,338.610000,0.000000,1.000000,0.000000,1.000000
2011-02-23,342.620000,0.000000,1.000000,0.000000,1.000000
2011-02-24,342.880000,0.000000,1.000000,0.000000,1.000000
2011-02-25,348.160000,0.000000,1.000000,0.000000,1.000000
2011-02-28,353.210000,0.000000,1.000000,0.000000,1.000000
2011-03-01,349.310000,0.000000,1.000000,0.000000,1.000000
2011-03-02,352.120000,0.000000,1.000000,0.000000,1.000000
2011-03-03,359.560000,0.000000,1.000000,0.000000,1.000000
2011-03-04,360.000000,0.000000,1.000000,0.000000,1.000000
2011-03-07,355.360000,0.000000,1.000000,0.000000,1.000000
2011-03-08,355.760000,0.000000,1.000000,0.000000,1.000000
2011-03-09,352.470000,0.000000,1.000000,0.000000,1.000000
2011-03-10,346.670000,0.000000,1.000000,0.000000,1.000000
2011-03-11,351.990000,0.000000,1.000000,0.000000,1.000000
2011-03-14,353.560000,0.000000,1.000000,0.000000,1.000000
2011-03-15,345.430000,0.000000,1.000000,0.000000,1.000000
2011-03-16,330.010000,0.000000,1.000000,0.000000,1.000000
2011-03-17,334.640000,0.000000,1.000000,0.000000,1.000000
2011-03-18,330.670000,0.000000,1.000000,0.000000,1.000000
2011-03-21,339.300000,0.000000,1.000000,0.000000,1.000000
2011-03-22,341.200000,0.000000,1.000000,0.000000,1.000000
2011-03-23,339.190000,0.000000,1.000000,0.000000,1.000000
2011-03-24,344.970000,0.000000,1.000000,0.000000,1.000000
2011-03-25,351.540000,0.000000,1.000000,0.000000,1.000000
2011-03-28,350.440000,0.000000,1.000000,0.000000,1.000000
2011-03-29,350.960000,0.000000,1.000000,0.000000,1.000000
2011-03-30,348.630000,0.000000,1.000000,0.000000,1.000000
2011-03-31,348.507500,0.000000,1.000000,0.000000,1.000000
2011-04-01,344.560000,0.000000,1.000000,0.000000,1.000000
2011-04-04,341.190000,0.000000,1.000000,0.000000,1.000000
2011-04-05,338.890000,0.000000,1.000000,0.000000,1.000000
2011-04-06,338.040000,0.000000,1.000000,0.000000,1.000000
2011-04-07,338.080000,0.000000,1.000000,0.000000,1.000000
2011-04-08,335.060000,0.000000,1.000000,0.000000,1.000000
2011-04-11,330.800000,0.000000,1.000000,0.000000,1.000000
2011-04-12,332.400000,0.000000,1.000000,0.000000,1.000000
2011-04-13,336.130000,0.000000,1.000000,0.000000,1.000000
2011-04-14,332.420000,0.000000,1.000000,0.000000,1.000000
2011-04-15,327.460000,0.000000,1.000000,0.000000,1.000000
2011-04-18,331.850000,0.000000,1.000000,0.000000,1.000000
2011-04-19,337.860000,0.000000,1.000000,0.000000,1.000000
2011-04-20,342.410000,0.000000,1.000000,0.000000,1.000000
2011-04-21,350.696000,0.000000,1.000000,0.000000,1.000000
2011-04-25,353.009000,0.000000,1.000000,0.000000,1.000000
2011-04-26,350.420000,0.000000,1.000000,0.000000,1.000000
2011-04-27,350.150000,0.000000,1.000000,0.000000,1.000000
2011-04-28,346.750000,0.000000,1.000000,0.000000,1.000000
2011-04-29,350.130000,0.000000,1.000000,0.000000,1.000000
2011-05-02,346.280000,0.000000,1.000000,0.000000,1.000000
2011-05-03,348.200000,0.000000,1.000000,0.000000,1.000000
2011-05-04,349.570000,0.000000,1.000000,0.000000,1.000000
