Date,CLOSE,Dividend,SplitFactor,CumulativeDividend,cum_factor
2011-02-16,2143.9393,0.0000,1.0000,0.0000,1.0000
2011-02-17,2173.5000,0.0000,1.0000,0.0000,1.0000
2011-02-18,2174.3200,0.0000,1.0000,0.0000,1.0000
2011-02-21,2169.5000,0.0000,1.0000,0.0000,1.0000
2011-02-22,2183.2300,0.0000,1.0000,0.0000,1.0000
2011-02-23,2175.5728,0.0000,1.0000,0.0000,1.0000
2011-02-24,2206.0000,0.0000,1.0000,0.0000,1.0000
2011-02-25,2201.6311,0.0000,1.0000,0.0000,1.0000
2011-02-28,2215.6200,0.0000,1.0000,0.0000,1.0000
2011-03-01,2215.0000,0.0000,1.0000,0.0000,1.0000
2011-03-02,2174.0147,0.0000,1.0000,0.0000,1.0000
2011-03-03,2204.4000,0.0000,1.0000,0.0000,1.0000
2011-03-04,2221.5041,0.0000,1.0000,0.0000,1.0000
2011-03-07,2224.7100,0.0000,1.0000,0.0000,1.0000
2011-03-08,2197.7198,0.0000,1.0000,0.0000,1.0000
2011-03-09,2169.7500,0.0000,1.0000,0.0000,1.0000
2011-03-10,2148.0860,0.0000,1.0000,0.0000,1.0000
2011-03-11,2122.4345,0.0000,1.0000,0.0000,1.0000
2011-03-14,2123.8116,0.0000,1.0000,0.0000,1.0000
2011-03-15,2101.0000,0.0000,1.0000,0.0000,1.0000
2011-03-16,2094.5851,0.0000,1.0000,0.0000,1.0000
2011-03-17,2129.6563,0.0000,1.0000,0.0000,1.0000
2011-03-18,2146.0000,0.0000,1.0000,0.0000,1.0000
2011-03-21,2169.5900,0.0000,1.0000,0.0000,1.0000
2011-03-22,2180.0000,0.0000,1.0000,0.0000,1.0000
2011-03-23,2185.8380,0.0000,1.0000,0.0000,1.0000
2011-03-24,2205.0886,0.0000,1.0000,0.0000,1.0000
2011-03-25,2258.0000,0.0000,1.0000,0.0000,1.0000
2011-03-28,2238.0000,0.0000,1.0000,0.0000,1.0000
2011-03-29,2243.0000,0.0000,1.0000,0.0000,1.0000
2011-03-30,2247.2990,0.0000,1.0000,0.0000,1.0000
2011-03-31,2264.0000,0.0000,1.0000,0.0000,1.0000
2011-04-01,2266.3816,0.0000,1.0000,0.0000,1.0000
