Date,CLOSE,Dividend,SplitFactor,CumulativeDividend,cum_factor
2011-02-16,75.960000,0.000000,1.000000,0.000000,1.000000
2011-02-17,76.140000,0.000000,1.000000,0.000000,1.000000
2011-02-18,75.830000,0.000000,1.000000,0.000000,1.000000
2011-02-22,73.740000,0.000000,1.000000,0.000000,1.000000
2011-02-23,72.880000,0.000000,1.000000,0.000000,1.000000
2011-02-24,73.910000,0.000000,1.000000,0.000000,1.000000
2011-02-25,74.680000,0.000000,1.000000,0.000000,1.000000
2011-02-28,73.050000,0.000000,1.000000,0.000000,1.000000
2011-03-01,72.700000,0.000000,1.000000,0.000000,1.000000
2011-03-02,73.970000,0.000000,1.000000,0.000000,1.000000
2011-03-03,75.830000,0.000000,1.000000,0.000000,1.000000
2011-03-04,74.690000,0.000000,1.000000,0.000000,1.000000
2011-03-07,74.150000,0.000000,1.000000,0.000000,1.000000
2011-03-08,74.170000,0.000000,1.000000,0.000000,1.000000
2011-03-09,73.710000,0.000000,1.000000,0.000000,1.000000
2011-03-10,71.400000,0.000000,1.000000,0.000000,1.000000
2011-03-11,72.510000,0.000000,1.000000,0.000000,1.000000
2011-03-14,71.860000,0.000000,1.000000,0.000000,1.000000
2011-03-15,71.200000,0.000000,1.000000,0.000000,1.000000
2011-03-16,70.960000,0.000000,1.000000,0.000000,1.000000
2011-03-17,71.430000,0.000000,1.000000,0.000000,1.000000
2011-03-18,71.420000,0.000000,1.000000,0.000000,1.000000
2011-03-21,71.960000,0.000000,1.000000,0.000000,1.000000
2011-03-22,71.600000,0.000000,1.000000,0.000000,1.000000
2011-03-23,71.990000,0.000000,1.000000,0.000000,1.000000
2011-03-24,72.660000,0.000000,1.000000,0.000000,1.000000
2011-03-25,72.090000,0.000000,1.000000,0.000000,1.000000
2011-03-28,72.750000,0.000000,1.000000,0.000000,1.000000
2011-03-29,72.200000,0.000000,1.000000,0.000000,1.000000
2011-03-30,74.230000,0.000000,1.000000,0.000000,1.000000
2011-03-31,73.620000,0.000000,1.000000,0.000000,1.000000
2011-04-01,74.220000,0.000000,1.000000,0.000000,1.000000
2011-04-04,75.240000,0.000000,1.000000,0.000000,1.000000
2011-04-05,75.620000,0.000000,1.000000,0.000000,1.000000
2011-04-06,76.000000,0.000000,1.000000,0.000000,1.000000
2011-04-07,76.410000,0.000000,1.000000,0.000000,1.000000
2011-04-08,76.720000,0.000000,1.000000,0.000000,1.000000
2011-04-11,77.710000,0.000000,1.000000,0.000000,1.000000
2011-04-12,77.030000,0.000000,1.000000,0.000000,1.000000
2011-04-13,77.500000,0.000000,1.000000,0.000000,1.000000
2011-04-14,76.310000,0.000000,1.000000,0.000000,1.000000
2011-04-15,76.470000,0.000000,1.000000,0.000000,1.000000
2011-04-18,75.680000,0.000000,1.000000,0.000000,1.000000
2011-04-19,75.920000,0.000000,1.000000,0.000000,1.000000
2011-04-20,77.370000,0.000000,1.000000,0.000000,1.000000
2011-04-21,77.770000,0.000000,1.000000,0.000000,1.000000
2011-04-25,77.760000,0.000000,1.000000,0.000000,1.000000
2011-04-26,78.770000,0.000000,1.000000,0.000000,1.000000
2011-04-27,78.890000,0.000000,1.000000,0.000000,1.000000
2011-04-28,77.660000,0.000000,1.000000,0.000000,1.000000
2011-04-29,78.120000,0.000000,1.000000,0.000000,1.000000
2011-05-02,79.140000,0.000000,1.000000,0.000000,1.000000
2011-05-03,80.000000,0.000000,1.000000,0.000000,1.000000
2011-05-04,79.770000,0.000000,1.000000,0.000000,1.000000
2011-05-05,78.700000,0.000000,1.000000,0.000000,1.000000
2011-05-06,79.410000,0.000000,1.000000,0.000000,1.000000
2011-05-09,79.860000,0.000000,1.000000,0.000000,1.000000
2011-05-10,80.350000,0.000000,1.000000,0.000000,1.000000
2011-05-11,79.340000,0.000000,1.000000,0.000000,1.000000
2011-05-12,79.930000,0.000000,1.000000,0.000000,1.000000
