Instrument,Date,Constituent RIC,Constituent Name
.SPX,2024-03-18,DECK.N,Deckers Outdoor
.SPX,2024-03-18,SMCI.OQ,Super Micro Comp
.SPX,2024-03-18,WHR.N,Whirlpool
.SPX,2024-03-18,ZION.OQ,Zions Bancorp
.SPX,2024-04-01,SOLV.N,Solventum
.SPX,2024-04-02,GEV.N,GE Vernova
.SPX,2024-04-03,VFC.N,VF
.SPX,2024-04-03,XRAY.OQ,Dentsply Sirona
.SPX,2024-05-08,VST.N,Vistra Corp
.SPX,2024-05-08,PXD.N^E24,Pioneer Natl Rsc
.SPX,2024-06-24,GDDY.N,GoDaddy
.SPX,2024-06-24,KKR.N,KKR & Co
.SPX,2024-06-24,CRWD.OQ,CrowdStrike Hldg
.SPX,2024-06-24,ILMN.OQ,Illumina
.SPX,2024-06-24,CMA.N^B26,Comerica
.SPX,2024-06-24,RHI.N,Robert Half
.SPX,2024-07-08,SW.N,Smurfit WestRock
.SPX,2024-07-08,WRK.N^G24,WestRock Co
.SPX,2024-09-23,ERIE.OQ,Erie Indemnity
.SPX,2024-09-23,PLTR.OQ,Palantir Tech
.SPX,2024-09-23,DELL.N,Dell Tech
.SPX,2024-09-23,AAL.OQ,American Airline
.SPX,2024-09-23,BIO.N,Bio Rad
.SPX,2024-09-23,ETSY.N,ETSY
.SPX,2024-09-30,AMTM.N,Amentum Hldgs
.SPX,2024-10-01,BBWI.N,Bath & Body
.SPX,2024-11-26,TPL.N,Texas Pac Land
.SPX,2024-11-26,MRO.N^K24,Marathn Oil
.SPX,2024-12-23,APO.N,Apollo Global
.SPX,2024-12-23,LII.N,LII
.SPX,2024-12-23,WDAY.OQ,Workday
.SPX,2024-12-23,AMTM.N,Amentum Hldgs
.SPX,2024-12-23,CTLT.N^L24,Catalent
.SPX,2024-12-23,QRVO.OQ,Qorvo
