Date,CLOSE,Dividend,SplitFactor,CumulativeDividend,cum_factor
2011-02-16,363.1300,0.0000,1.0000,0.0000,1.0000
2011-02-17,358.3000,0.0000,1.0000,0.0000,1.0000
2011-02-18,350.5600,0.0000,1.0000,0.0000,1.0000
2011-02-22,338.6100,0.0000,1.0000,0.0000,1.0000
2011-02-23,342.6200,0.0000,1.0000,0.0000,1.0000
2011-02-24,342.8800,0.0000,1.0000,0.0000,1.0000
2011-02-25,348.1600,0.0000,1.0000,0.0000,1.0000
2011-02-28,353.2100,0.0000,1.0000,0.0000,1.0000
2011-03-01,349.3100,0.0000,1.0000,0.0000,1.0000
2011-03-02,352.1200,0.0000,1.0000,0.0000,1.0000
2011-03-03,359.5600,0.0000,1.0000,0.0000,1.0000
2011-03-04,360.0000,0.0000,1.0000,0.0000,1.0000
2011-03-07,355.3600,0.0000,1.0000,0.0000,1.0000
2011-03-08,355.7600,0.0000,1.0000,0.0000,1.0000
2011-03-09,352.4700,0.0000,1.0000,0.0000,1.0000
2011-03-10,346.6700,0.0000,1.0000,0.0000,1.0000
2011-03-11,351.9900,0.0000,1.0000,0.0000,1.0000
2011-03-14,353.5600,0.0000,1.0000,0.0000,1.0000
2011-03-15,345.4300,0.0000,1.0000,0.0000,1.0000
2011-03-16,330.0100,0.0000,1.0000,0.0000,1.0000
2011-03-17,334.6400,0.0000,1.0000,0.0000,1.0000
2011-03-18,330.6700,0.0000,1.0000,0.0000,1.0000
2011-03-21,339.3000,0.0000,1.0000,0.0000,1.0000
2011-03-22,341.2000,0.0000,1.0000,0.0000,1.0000
2011-03-23,339.1900,0.0000,1.0000,0.0000,1.0000
2011-03-24,344.9700,0.0000,1.0000,0.0000,1.0000
2011-03-25,351.5400,0.0000,1.0000,0.0000,1.0000
2011-03-28,350.4400,0.0000,1.0000,0.0000,1.0000
2011-03-29,350.9600,0.0000,1.0000,0.0000,1.0000
2011-03-30,348.6300,0.0000,1.0000,0.0000,1.0000
2011-03-31,348.5075,0.0000,1.0000,0.0000,1.0000
2011-04-01,344.5600,0.0000,1.0000,0.0000,1.0000
2011-04-04,341.1900,0.0000,1.0000,0.0000,1.0000
2011-04-05,338.8900,0.0000,1.0000,0.0000,1.0000
2011-04-06,338.0400,0.0000,1.0000,0.0000,1.0000
2011-04-07,338.0800,0.0000,1.0000,0.0000,1.0000
2011-04-08,335.0600,0.0000,1.0000,0.0000,1.0000
2011-04-11,330.8000,0.0000,1.0000,0.0000,1.0000
2011-04-12,332.4000,0.0000,1.0000,0.0000,1.0000
2011-04-13,336.1300,0.0000,1.0000,0.0000,1.0000
2011-04-14,332.4200,0.0000,1.0000,0.0000,1.0000
2011-04-15,327.4600,0.0000,1.0000,0.0000,1.0000
2011-04-18,331.8500,0.0000,1.0000,0.0000,1.0000
2011-04-19,337.8600,0.0000,1.0000,0.0000,1.0000
2011-04-20,342.4100,0.0000,1.0000,0.0000,1.0000
2011-04-21,350.6960,0.0000,1.0000,0.0000,1.0000
2011-04-25,353.0090,0.0000,1.0000,0.0000,1.0000
2011-04-26,350.4200,0.0000,1.0000,0.0000,1.0000
2011-04-27,350.1500,0.0000,1.0000,0.0000,1.0000
2011-04-28,346.7500,0.0000,1.0000,0.0000,1.0000
2011-04-29,350.1300,0.0000,1.0000,0.0000,1.0000
2011-05-02,346.2800,0.0000,1.0000,0.0000,1.0000
2011-05-03,348.2000,0.0000,1.0000,0.0000,1.0000
2011-05-04,349.5700,0.0000,1.0000,0.0000,1.0000
2011-05-05,346.7500,0.0000,1.0000,0.0000,1.0000
2011-05-06,346.6600,0.0000,1.0000,0.0000,1.0000
2011-05-09,347.6000,0.0000,1.0000,0.0000,1.0000
2011-05-10,349.4500,0.0000,1.0000,0.0000,1.0000
2011-05-11,347.2300,0.0000,1.0000,0.0000,1.0000
2011-05-12,346.5700,0.0000,1.0000,0.0000,1.0000
2011-05-13,340.5000,0.0000,1.0000,0.0000,1.0000
2011-05-16,333.3000,0.0000,1.0000,0.0000,1.0000
2011-05-17,336.1400,0.0000,1.0000,0.0000,1.0000
2011-05-18,339.8700,0.0000,1.0000,0.0000,1.0000
2011-05-19,340.5300,0.0000,1.0000,0.0000,1.0000
2011-05-20,335.2200,0.0000,1.0000,0.0000,1.0000
2011-05-23,334.4000,0.0000,1.0000,0.0000,1.0000
2011-05-24,332.1900,0.0000,1.0000,0.0000,1.0000
2011-05-25,336.7800,0.0000,1.0000,0.0000,1.0000
2011-05-26,335.0000,0.0000,1.0000,0.0000,1.0000
2011-05-27,337.4100,0.0000,1.0000,0.0000,1.0000
2011-05-31,347.8300,0.0000,1.0000,0.0000,1.0000
2011-06-01,345.5100,0.0000,1.0000,0.0000,1.0000
2011-06-02,346.1020,0.0000,1.0000,0.0000,1.0000
2011-06-03,343.4400,0.0000,1.0000,0.0000,1.0000
2011-06-06,338.0400,0.0000,1.0000,0.0000,1.0000
2011-06-07,332.0400,0.0000,1.0000,0.0000,1.0000
2011-06-08,332.2400,0.0000,1.0000,0.0000,1.0000
2011-06-09,331.4900,0.0000,1.0000,0.0000,1.0000
2011-06-10,325.9000,0.0000,1.0000,0.0000,1.0000
2011-06-13,326.6000,0.0000,1.0000,0.0000,1.0000
2011-06-14,332.4400,0.0000,1.0000,0.0000,1.0000
2011-06-15,326.7500,0.0000,1.0000,0.0000,1.0000
2011-06-16,325.1600,0.0000,1.0000,0.0000,1.0000
2011-06-17,320.2600,0.0000,1.0000,0.0000,1.0000
2011-06-20,315.3200,0.0000,1.0000,0.0000,1.0000
2011-06-21,325.3000,0.0000,1.0000,0.0000,1.0000
2011-06-22,322.6100,0.0000,1.0000,0.0000,1.0000
2011-06-23,331.2300,0.0000,1.0000,0.0000,1.0000
2011-06-24,326.3500,0.0000,1.0000,0.0000,1.0000
2011-06-27,332.0400,0.0000,1.0000,0.0000,1.0000
2011-06-28,335.2600,0.0000,1.0000,0.0000,1.0000
2011-06-29,334.0400,0.0000,1.0000,0.0000,1.0000
2011-06-30,335.6700,0.0000,1.0000,0.0000,1.0000
2011-07-01,343.2600,0.0000,1.0000,0.0000,1.0000
2011-07-05,349.4300,0.0000,1.0000,0.0000,1.0000
2011-07-06,351.7600,0.0000,1.0000,0.0000,1.0000
2011-07-07,357.2000,0.0000,1.0000,0.0000,1.0000
2011-07-08,359.7100,0.0000,1.0000,0.0000,1.0000
2011-07-11,354.0000,0.0000,1.0000,0.0000,1.0000
2011-07-12,353.7500,0.0000,1.0000,0.0000,1.0000
2011-07-13,358.0200,0.0000,1.0000,0.0000,1.0000
2011-07-14,357.7700,0.0000,1.0000,0.0000,1.0000
2011-07-15,364.9200,0.0000,1.0000,0.0000,1.0000
2011-07-18,373.8000,0.0000,1.0000,0.0000,1.0000
2011-07-19,376.8500,0.0000,1.0000,0.0000,1.0000
2011-07-20,386.9000,0.0000,1.0000,0.0000,1.0000
2011-07-21,387.2900,0.0000,1.0000,0.0000,1.0000
2011-07-22,393.3000,0.0000,1.0000,0.0000,1.0000
2011-07-25,398.5000,0.0000,1.0000,0.0000,1.0000
2011-07-26,403.4100,0.0000,1.0000,0.0000,1.0000
2011-07-27,392.5900,0.0000,1.0000,0.0000,1.0000
2011-07-28,391.8200,0.0000,1.0000,0.0000,1.0000
2011-07-29,390.4800,0.0000,1.0000,0.0000,1.0000
2011-08-01,396.7500,0.0000,1.0000,0.0000,1.0000
2011-08-02,388.9100,0.0000,1.0000,0.0000,1.0000
2011-08-03,392.5700,0.0000,1.0000,0.0000,1.0000
2011-08-04,377.3700,0.0000,1.0000,0.0000,1.0000
2011-08-05,373.6200,0.0000,1.0000,0.0000,1.0000
2011-08-08,353.2100,0.0000,1.0000,0.0000,1.0000
2011-08-09,374.0100,0.0000,1.0000,0.0000,1.0000
2011-08-10,363.6900,0.0000,1.0000,0.0000,1.0000
2011-08-11,373.7000,0.0000,1.0000,0.0000,1.0000
2011-08-12,376.9900,0.0000,1.0000,0.0000,1.0000
2011-08-15,383.4100,0.0000,1.0000,0.0000,1.0000
2011-08-16,380.4800,0.0000,1.0000,0.0000,1.0000
2011-08-17,380.4400,0.0000,1.0000,0.0000,1.0000
2011-08-18,366.0500,0.0000,1.0000,0.0000,1.0000
2011-08-19,356.0300,0.0000,1.0000,0.0000,1.0000
2011-08-22,356.4400,0.0000,1.0000,0.0000,1.0000
2011-08-23,373.6000,0.0000,1.0000,0.0000,1.0000
2011-08-24,376.1800,0.0000,1.0000,0.0000,1.0000
2011-08-25,373.7200,0.0000,1.0000,0.0000,1.0000
2011-08-26,383.5800,0.0000,1.0000,0.0000,1.0000
2011-08-29,389.9700,0.0000,1.0000,0.0000,1.0000
2011-08-30,389.9900,0.0000,1.0000,0.0000,1.0000
2011-08-31,384.8300,0.0000,1.0000,0.0000,1.0000
2011-09-01,381.0300,0.0000,1.0000,0.0000,1.0000
2011-09-02,374.0500,0.0000,1.0000,0.0000,1.0000
2011-09-06,379.7400,0.0000,1.0000,0.0000,1.0000
2011-09-07,383.9300,0.0000,1.0000,0.0000,1.0000
2011-09-08,384.1400,0.0000,1.0000,0.0000,1.0000
2011-09-09,377.4800,0.0000,1.0000,0.0000,1.0000
2011-09-12,379.9400,0.0000,1.0000,0.0000,1.0000
2011-09-13,384.6200,0.0000,1.0000,0.0000,1.0000
2011-09-14,389.3000,0.0000,1.0000,0.0000,1.0000
2011-09-15,392.9600,0.0000,1.0000,0.0000,1.0000
2011-09-16,400.5000,0.0000,1.0000,0.0000,1.0000
2011-09-19,411.6300,0.0000,1.0000,0.0000,1.0000
2011-09-20,413.4500,0.0000,1.0000,0.0000,1.0000
2011-09-21,412.1400,0.0000,1.0000,0.0000,1.0000
2011-09-22,401.8200,0.0000,1.0000,0.0000,1.0000
2011-09-23,404.3000,0.0000,1.0000,0.0000,1.0000
2011-09-26,403.1700,0.0000,1.0000,0.0000,1.0000
2011-09-27,399.2600,0.0000,1.0000,0.0000,1.0000
2011-09-28,397.0100,0.0000,1.0000,0.0000,1.0000
2011-09-29,390.5700,0.0000,1.0000,0.0000,1.0000
2011-09-30,381.3200,0.0000,1.0000,0.0000,1.0000
2011-10-03,374.6000,0.0000,1.0000,0.0000,1.0000
2011-10-04,372.5000,0.0000,1.0000,0.0000,1.0000
2011-10-05,378.2500,0.0000,1.0000,0.0000,1.0000
2011-10-06,377.3700,0.0000,1.0000,0.0000,1.0000
2011-10-07,369.8000,0.0000,1.0000,0.0000,1.0000
2011-10-10,388.8100,0.0000,1.0000,0.0000,1.0000
2011-10-11,400.2900,0.0000,1.0000,0.0000,1.0000
2011-10-12,402.1900,0.0000,1.0000,0.0000,1.0000
2011-10-13,408.4300,0.0000,1.0000,0.0000,1.0000
2011-10-14,422.0000,0.0000,1.0000,0.0000,1.0000
2011-10-17,419.9900,0.0000,1.0000,0.0000,1.0000
2011-10-18,422.2400,0.0000,1.0000,0.0000,1.0000
2011-10-19,398.6200,0.0000,1.0000,0.0000,1.0000
2011-10-20,395.3100,0.0000,1.0000,0.0000,1.0000
2011-10-21,392.8700,0.0000,1.0000,0.0000,1.0000
2011-10-24,405.7700,0.0000,1.0000,0.0000,1.0000
2011-10-25,397.7700,0.0000,1.0000,0.0000,1.0000
2011-10-26,400.6000,0.0000,1.0000,0.0000,1.0000
2011-10-27,404.6900,0.0000,1.0000,0.0000,1.0000
2011-10-28,404.9500,0.0000,1.0000,0.0000,1.0000
2011-10-31,404.7800,0.0000,1.0000,0.0000,1.0000
