Date,CLOSE,Dividend,SplitFactor,CumulativeDividend,cum_factor
2011-02-16,60.5200,0.0000,1.0000,0.0000,1.0000
2011-02-17,60.7900,0.0000,1.0000,0.0000,1.0000
2011-02-18,61.1100,0.0000,1.0000,0.0000,1.0000
2011-02-22,60.6500,0.0000,1.0000,0.0000,1.0000
2011-02-23,60.3900,0.0000,1.0000,0.0000,1.0000
2011-02-24,60.2500,0.0000,1.0000,0.0000,1.0000
2011-02-25,59.6400,0.5400,1.0000,0.5400,1.0000
2011-02-28,61.4400,0.0000,1.0000,0.5400,1.0000
2011-03-01,60.6900,0.0000,1.0000,0.5400,1.0000
2011-03-02,60.8100,0.0000,1.0000,0.5400,1.0000
2011-03-03,61.0500,0.0000,1.0000,0.5400,1.0000
2011-03-04,61.0600,0.0000,1.0000,0.5400,1.0000
2011-03-07,60.4000,0.0000,1.0000,0.5400,1.0000
2011-03-08,60.7100,0.0000,1.0000,0.5400,1.0000
2011-03-09,60.4000,0.0000,1.0000,0.5400,1.0000
2011-03-10,59.6100,0.0000,1.0000,0.5400,1.0000
2011-03-11,59.6900,0.0000,1.0000,0.5400,1.0000
2011-03-14,59.1300,0.0000,1.0000,0.5400,1.0000
2011-03-15,58.4800,0.0000,1.0000,0.5400,1.0000
2011-03-16,57.6600,0.0000,1.0000,0.5400,1.0000
2011-03-17,58.1300,0.0000,1.0000,0.5400,1.0000
2011-03-18,58.5700,0.0000,1.0000,0.5400,1.0000
2011-03-21,58.8300,0.0000,1.0000,0.5400,1.0000
2011-03-22,58.7900,0.0000,1.0000,0.5400,1.0000
2011-03-23,58.7200,0.0000,1.0000,0.5400,1.0000
2011-03-24,59.0300,0.0000,1.0000,0.5400,1.0000
2011-03-25,58.9800,0.0000,1.0000,0.5400,1.0000
2011-03-28,59.2400,0.0000,1.0000,0.5400,1.0000
2011-03-29,59.2200,0.0000,1.0000,0.5400,1.0000
2011-03-30,59.3800,0.0000,1.0000,0.5400,1.0000
2011-03-31,59.2500,0.0000,1.0000,0.5400,1.0000
2011-04-01,59.4900,0.0000,1.0000,0.5400,1.0000
2011-04-04,60.1500,0.0000,1.0000,0.5400,1.0000
2011-04-05,59.8000,0.0000,1.0000,0.5400,1.0000
2011-04-06,59.6600,0.0000,1.0000,0.5400,1.0000
2011-04-07,59.4800,0.0000,1.0000,0.5400,1.0000
2011-04-08,59.4600,0.0000,1.0000,0.5400,1.0000
2011-04-11,59.8600,0.0000,1.0000,0.5400,1.0000
2011-04-12,59.9400,0.0000,1.0000,0.5400,1.0000
2011-04-13,59.6000,0.0000,1.0000,0.5400,1.0000
2011-04-14,60.0200,0.0000,1.0000,0.5400,1.0000
2011-04-15,60.5600,0.0000,1.0000,0.5400,1.0000
2011-04-18,60.4600,0.0000,1.0000,0.5400,1.0000
2011-04-19,62.6900,0.0000,1.0000,0.5400,1.0000
2011-04-20,64.3900,0.0000,1.0000,0.5400,1.0000
2011-04-21,64.0700,0.0000,1.0000,0.5400,1.0000
2011-04-25,64.1100,0.0000,1.0000,0.5400,1.0000
2011-04-26,64.9500,0.0000,1.0000,0.5400,1.0000
2011-04-27,65.5700,0.0000,1.0000,0.5400,1.0000
2011-04-28,65.3800,0.0000,1.0000,0.5400,1.0000
2011-04-29,65.7200,0.0000,1.0000,0.5400,1.0000
2011-05-02,66.2100,0.0000,1.0000,0.5400,1.0000
2011-05-03,66.2600,0.0000,1.0000,0.5400,1.0000
2011-05-04,65.6700,0.0000,1.0000,0.5400,1.0000
2011-05-05,65.0100,0.0000,1.0000,0.5400,1.0000
2011-05-06,65.2700,0.0000,1.0000,0.5400,1.0000
2011-05-09,65.6300,0.0000,1.0000,0.5400,1.0000
2011-05-10,65.7600,0.0000,1.0000,0.5400,1.0000
2011-05-11,66.5700,0.0000,1.0000,0.5400,1.0000
2011-05-12,67.1900,0.0000,1.0000,0.5400,1.0000
2011-05-13,66.6200,0.0000,1.0000,0.5400,1.0000
2011-05-16,66.3700,0.0000,1.0000,0.5400,1.0000
2011-05-17,66.4000,0.0000,1.0000,0.5400,1.0000
2011-05-18,66.5000,0.0000,1.0000,0.5400,1.0000
2011-05-19,66.3900,0.0000,1.0000,0.5400,1.0000
2011-05-20,65.6900,0.0000,1.0000,0.5400,1.0000
2011-05-23,65.5600,0.0000,1.0000,0.5400,1.0000
2011-05-24,65.7800,0.0000,1.0000,0.5400,1.0000
2011-05-25,66.2900,0.0000,1.0000,0.5400,1.0000
2011-05-26,65.5100,0.5700,1.0000,1.1100,1.0000
2011-05-27,66.7700,0.0000,1.0000,1.1100,1.0000
2011-05-31,67.2900,0.0000,1.0000,1.1100,1.0000
2011-06-01,66.4800,0.0000,1.0000,1.1100,1.0000
2011-06-02,66.4800,0.0000,1.0000,1.1100,1.0000
