Date,CLOSE,Dividend,SplitFactor,CumulativeDividend,cum_factor
2011-02-16,47.9400,0.0000,1.0000,0.0000,1.0000
2011-02-17,47.8200,0.0000,1.0000,0.0000,1.0000
2011-02-18,48.0000,0.0000,1.0000,0.0000,1.0000
2011-02-22,46.0100,0.0000,1.0000,0.0000,1.0000
2011-02-23,45.9600,0.0000,1.0000,0.0000,1.0000
2011-02-24,45.9100,0.0000,1.0000,0.0000,1.0000
2011-02-25,46.6800,0.0000,1.0000,0.0000,1.0000
2011-02-28,46.6900,0.0000,1.0000,0.0000,1.0000
2011-03-01,45.6000,0.0000,1.0000,0.0000,1.0000
2011-03-02,45.2100,0.0000,1.0000,0.0000,1.0000
2011-03-03,46.0800,0.0000,1.0000,0.0000,1.0000
2011-03-04,45.5200,0.0000,1.0000,0.0000,1.0000
2011-03-07,45.1900,0.0000,1.0000,0.0000,1.0000
2011-03-08,46.4200,0.0000,1.0000,0.0000,1.0000
2011-03-09,46.5600,0.0000,1.0000,0.0000,1.0000
2011-03-10,45.5300,0.0000,1.0000,0.0000,1.0000
2011-03-11,45.7400,0.0000,1.0000,0.0000,1.0000
2011-03-14,45.3000,0.0000,1.0000,0.0000,1.0000
2011-03-15,44.6100,0.0000,1.0000,0.0000,1.0000
2011-03-16,43.8100,0.0000,1.0000,0.0000,1.0000
2011-03-17,44.5600,0.0000,1.0000,0.0000,1.0000
2011-03-18,45.7400,0.0000,1.0000,0.0000,1.0000
2011-03-21,45.6500,0.0000,1.0000,0.0000,1.0000
2011-03-22,45.4700,0.0000,1.0000,0.0000,1.0000
2011-03-23,45.6000,0.0000,1.0000,0.0000,1.0000
2011-03-24,45.7300,0.0000,1.0000,0.0000,1.0000
2011-03-25,45.8600,0.0000,1.0000,0.0000,1.0000
2011-03-28,45.9600,0.0000,1.0000,0.0000,1.0000
2011-03-29,46.0200,0.0000,1.0000,0.0000,1.0000
2011-03-30,46.4500,0.0000,1.0000,0.0000,1.0000
2011-03-31,46.1000,0.0000,1.0000,0.0000,1.0000
2011-04-01,46.3500,0.0000,1.0000,0.0000,1.0000
2011-04-04,46.3400,0.2500,1.0000,0.2500,1.0000
2011-04-05,46.5800,0.0000,1.0000,0.2500,1.0000
