Date,CLOSE,Dividend,SplitFactor,CumulativeDividend,cum_factor
2011-02-16,23.3800,0.0000,1.0000,0.0000,1.0000
2011-02-17,25.6800,0.0000,1.0000,0.0000,1.0000
2011-02-18,25.6300,0.0000,1.0000,0.0000,1.0000
2011-02-22,23.2100,0.0000,1.0000,0.0000,1.0000
2011-02-23,22.1100,0.0000,1.0000,0.0000,1.0000
2011-02-24,22.6500,0.0000,1.0000,0.0000,1.0000
2011-02-25,23.1200,0.0000,1.0000,0.0000,1.0000
2011-02-28,22.6600,0.0000,1.0000,0.0000,1.0000
2011-03-01,21.6500,0.0000,1.0000,0.0000,1.0000
2011-03-02,20.7500,0.0000,1.0000,0.0000,1.0000
2011-03-03,20.8700,0.0000,1.0000,0.0000,1.0000
2011-03-04,20.7550,0.0000,1.0000,0.0000,1.0000
2011-03-07,20.4700,0.0000,1.0000,0.0000,1.0000
2011-03-08,19.5500,0.0000,1.0000,0.0000,1.0000
2011-03-09,19.1400,0.0000,1.0000,0.0000,1.0000
2011-03-10,17.9200,0.0000,1.0000,0.0000,1.0000
2011-03-11,18.0500,0.0000,1.0000,0.0000,1.0000
2011-03-14,18.2000,0.0000,1.0000,0.0000,1.0000
2011-03-15,17.6600,0.0000,1.0000,0.0000,1.0000
2011-03-16,17.5300,0.0000,1.0000,0.0000,1.0000
2011-03-17,17.8600,0.0000,1.0000,0.0000,1.0000
2011-03-18,17.6200,0.0000,1.0000,0.0000,1.0000
2011-03-21,17.7600,0.0000,1.0000,0.0000,1.0000
2011-03-22,17.4450,0.0000,1.0000,0.0000,1.0000
2011-03-23,17.8100,0.0000,1.0000,0.0000,1.0000
2011-03-24,19.2300,0.0000,1.0000,0.0000,1.0000
2011-03-25,18.6300,0.0000,1.0000,0.0000,1.0000
2011-03-28,19.3200,0.0000,1.0000,0.0000,1.0000
2011-03-29,19.1700,0.0000,1.0000,0.0000,1.0000
2011-03-30,18.4500,0.0000,1.0000,0.0000,1.0000
2011-03-31,18.4600,0.0000,1.0000,0.0000,1.0000
2011-04-01,18.2000,0.0000,1.0000,0.0000,1.0000
2011-04-04,17.5500,0.0000,1.0000,0.0000,1.0000
2011-04-05,17.5800,0.0000,1.0000,0.0000,1.0000
2011-04-06,17.4600,0.0000,1.0000,0.0000,1.0000
2011-04-07,18.1000,0.0000,1.0000,0.0000,1.0000
2011-04-08,17.5500,0.0000,1.0000,0.0000,1.0000
2011-04-11,17.3200,0.0000,1.0000,0.0000,1.0000
2011-04-12,17.3700,0.0000,1.0000,0.0000,1.0000
2011-04-13,17.7600,0.0000,1.0000,0.0000,1.0000
2011-04-14,18.5100,0.0000,1.0000,0.0000,1.0000
2011-04-15,18.7100,0.0000,1.0000,0.0000,1.0000
2011-04-18,18.0900,0.0000,1.0000,0.0000,1.0000
2011-04-19,18.0200,0.0000,1.0000,0.0000,1.0000
2011-04-20,18.5700,0.0000,1.0000,0.0000,1.0000
2011-04-21,18.5200,0.0000,1.0000,0.0000,1.0000
2011-04-25,18.8100,0.0000,1.0000,0.0000,1.0000
2011-04-26,19.3000,0.0000,1.0000,0.0000,1.0000
2011-04-27,19.3000,0.0000,1.0000,0.0000,1.0000
2011-04-28,19.5100,0.0000,1.0000,0.0000,1.0000
2011-04-29,20.0000,0.0000,1.0000,0.0000,1.0000
2011-05-02,19.7300,0.0000,1.0000,0.0000,1.0000
2011-05-03,18.7900,0.0000,1.0000,0.0000,1.0000
2011-05-04,18.6500,0.0000,1.0000,0.0000,1.0000
2011-05-05,18.6600,0.0000,1.0000,0.0000,1.0000
2011-05-06,19.3200,0.0000,1.0000,0.0000,1.0000
2011-05-09,19.7500,0.0000,1.0000,0.0000,1.0000
2011-05-10,19.7800,0.0000,1.0000,0.0000,1.0000
2011-05-11,19.8700,0.0000,1.0000,0.0000,1.0000
2011-05-12,20.5000,0.0000,1.0000,0.0000,1.0000
2011-05-13,18.2600,0.0000,1.0000,0.0000,1.0000
2011-05-16,17.7010,0.0000,1.0000,0.0000,1.0000
2011-05-17,17.6300,0.0000,1.0000,0.0000,1.0000
