Date,CLOSE,Dividend,SplitFactor,CumulativeDividend,cum_factor
2011-02-16,63.7600,0.0000,1.0000,0.0000,1.0000
2011-02-17,64.0000,0.0000,1.0000,0.0000,1.0000
2011-02-18,64.3000,0.0000,1.0000,0.0000,1.0000
2011-02-22,64.0700,0.0000,1.0000,0.0000,1.0000
2011-02-23,64.1500,0.0000,1.0000,0.0000,1.0000
2011-02-24,63.0500,0.0000,1.0000,0.0000,1.0000
2011-02-25,62.8400,0.0000,1.0000,0.0000,1.0000
2011-02-28,63.0500,0.0000,1.0000,0.0000,1.0000
2011-03-01,62.7400,0.0000,1.0000,0.0000,1.0000
2011-03-02,62.4100,0.0000,1.0000,0.0000,1.0000
2011-03-03,62.5500,0.0000,1.0000,0.0000,1.0000
2011-03-04,62.0300,0.0000,1.0000,0.0000,1.0000
2011-03-07,61.7100,0.0000,1.0000,0.0000,1.0000
2011-03-08,62.0500,0.0000,1.0000,0.0000,1.0000
2011-03-09,62.0000,0.0000,1.0000,0.0000,1.0000
2011-03-10,61.4900,0.0000,1.0000,0.0000,1.0000
2011-03-11,61.4900,0.0000,1.0000,0.0000,1.0000
2011-03-14,61.3500,0.0000,1.0000,0.0000,1.0000
2011-03-15,60.6600,0.0000,1.0000,0.0000,1.0000
2011-03-16,59.7300,0.0000,1.0000,0.0000,1.0000
2011-03-17,60.4300,0.0000,1.0000,0.0000,1.0000
2011-03-18,60.6000,0.0000,1.0000,0.0000,1.0000
2011-03-21,61.3000,0.0000,1.0000,0.0000,1.0000
2011-03-22,60.9300,0.0000,1.0000,0.0000,1.0000
2011-03-23,60.9100,0.0000,1.0000,0.0000,1.0000
2011-03-24,61.1400,0.0000,1.0000,0.0000,1.0000
2011-03-25,60.8800,0.0000,1.0000,0.0000,1.0000
2011-03-28,60.6600,0.0000,1.0000,0.0000,1.0000
2011-03-29,61.2800,0.0000,1.0000,0.0000,1.0000
2011-03-30,61.9700,0.0000,1.0000,0.0000,1.0000
2011-03-31,61.6000,0.0000,1.0000,0.0000,1.0000
2011-04-01,62.0800,0.0000,1.0000,0.0000,1.0000
2011-04-04,62.2600,0.0000,1.0000,0.0000,1.0000
2011-04-05,61.6700,0.0000,1.0000,0.0000,1.0000
2011-04-06,61.7600,0.0000,1.0000,0.0000,1.0000
2011-04-07,62.1300,0.0000,1.0000,0.0000,1.0000
2011-04-08,61.9000,0.0000,1.0000,0.0000,1.0000
2011-04-11,62.1900,0.0000,1.0000,0.0000,1.0000
2011-04-12,62.8900,0.0000,1.0000,0.0000,1.0000
2011-04-13,62.9900,0.0000,1.0000,0.0000,1.0000
2011-04-14,63.3000,0.0000,1.0000,0.0000,1.0000
2011-04-15,64.1800,0.0000,1.0000,0.0000,1.0000
2011-04-18,64.0000,0.0000,1.0000,0.0000,1.0000
2011-04-19,63.8600,0.0000,1.0000,0.0000,1.0000
2011-04-20,63.7200,0.0000,1.0000,0.0000,1.0000
2011-04-21,63.2700,0.0000,1.0000,0.0000,1.0000
2011-04-25,63.3700,0.0000,1.0000,0.0000,1.0000
2011-04-26,63.8300,0.0000,1.0000,0.0000,1.0000
2011-04-27,64.0200,0.5250,1.0000,0.5250,1.0000
2011-04-28,64.5000,0.0000,1.0000,0.5250,1.0000
2011-04-29,64.9000,0.0000,1.0000,0.5250,1.0000
2011-05-02,65.1800,0.0000,1.0000,0.5250,1.0000
2011-05-03,65.7100,0.0000,1.0000,0.5250,1.0000
2011-05-04,66.4700,0.0000,1.0000,0.5250,1.0000
2011-05-05,65.8800,0.0000,1.0000,0.5250,1.0000
2011-05-06,65.2700,0.0000,1.0000,0.5250,1.0000
2011-05-09,65.1400,0.0000,1.0000,0.5250,1.0000
2011-05-10,65.7300,0.0000,1.0000,0.5250,1.0000
2011-05-11,65.9200,0.0000,1.0000,0.5250,1.0000
2011-05-12,66.8400,0.0000,1.0000,0.5250,1.0000
2011-05-13,66.8600,0.0000,1.0000,0.5250,1.0000
2011-05-16,66.9400,0.0000,1.0000,0.5250,1.0000
2011-05-17,67.4200,0.0000,1.0000,0.5250,1.0000
2011-05-18,67.3800,0.0000,1.0000,0.5250,1.0000
2011-05-19,67.4600,0.0000,1.0000,0.5250,1.0000
2011-05-20,67.3600,0.0000,1.0000,0.5250,1.0000
2011-05-23,67.0500,0.0000,1.0000,0.5250,1.0000
2011-05-24,67.0100,0.0000,1.0000,0.5250,1.0000
2011-05-25,66.3800,0.0000,1.0000,0.5250,1.0000
2011-05-26,66.1900,0.0000,1.0000,0.5250,1.0000
2011-05-27,66.2000,0.0000,1.0000,0.5250,1.0000
2011-05-31,67.0000,0.0000,1.0000,0.5250,1.0000
2011-06-01,66.4000,0.0000,1.0000,0.5250,1.0000
2011-06-02,66.0100,0.0000,1.0000,0.5250,1.0000
2011-06-03,65.4300,0.0000,1.0000,0.5250,1.0000
2011-06-06,65.5000,0.0000,1.0000,0.5250,1.0000
2011-06-07,65.0600,0.0000,1.0000,0.5250,1.0000
2011-06-08,64.8500,0.0000,1.0000,0.5250,1.0000
2011-06-09,65.0100,0.0000,1.0000,0.5250,1.0000
2011-06-10,64.7000,0.0000,1.0000,0.5250,1.0000
2011-06-13,64.7700,0.0000,1.0000,0.5250,1.0000
2011-06-14,64.7500,0.0000,1.0000,0.5250,1.0000
2011-06-15,63.7600,0.0000,1.0000,0.5250,1.0000
2011-06-16,64.2600,0.0000,1.0000,0.5250,1.0000
2011-06-17,64.7000,0.0000,1.0000,0.5250,1.0000
2011-06-20,65.0900,0.0000,1.0000,0.5250,1.0000
2011-06-21,64.2200,0.0000,1.0000,0.5250,1.0000
2011-06-22,64.0600,0.0000,1.0000,0.5250,1.0000
2011-06-23,63.4600,0.0000,1.0000,0.5250,1.0000
2011-06-24,62.5900,0.0000,1.0000,0.5250,1.0000
2011-06-27,62.8200,0.0000,1.0000,0.5250,1.0000
2011-06-28,62.7200,0.0000,1.0000,0.5250,1.0000
2011-06-29,62.5500,0.0000,1.0000,0.5250,1.0000
2011-06-30,63.5700,0.0000,1.0000,0.5250,1.0000
2011-07-01,64.2700,0.0000,1.0000,0.5250,1.0000
2011-07-05,64.2600,0.0000,1.0000,0.5250,1.0000
2011-07-06,64.7000,0.0000,1.0000,0.5250,1.0000
2011-07-07,64.9500,0.0000,1.0000,0.5250,1.0000
2011-07-08,64.9300,0.0000,1.0000,0.5250,1.0000
2011-07-11,64.7200,0.0000,1.0000,0.5250,1.0000
2011-07-12,64.5300,0.0000,1.0000,0.5250,1.0000
2011-07-13,64.6400,0.0000,1.0000,0.5250,1.0000
2011-07-14,64.6000,0.0000,1.0000,0.5250,1.0000
2011-07-15,64.8300,0.0000,1.0000,0.5250,1.0000
2011-07-18,64.5500,0.0000,1.0000,0.5250,1.0000
2011-07-19,64.6100,0.0000,1.0000,0.5250,1.0000
2011-07-20,64.2000,0.5250,1.0000,1.0500,1.0000
2011-07-21,64.4900,0.0000,1.0000,1.0500,1.0000
2011-07-22,64.2500,0.0000,1.0000,1.0500,1.0000
2011-07-25,63.3200,0.0000,1.0000,1.0500,1.0000
2011-07-26,63.0900,0.0000,1.0000,1.0500,1.0000
2011-07-27,62.2000,0.0000,1.0000,1.0500,1.0000
2011-07-28,61.9200,0.0000,1.0000,1.0500,1.0000
2011-07-29,61.4900,0.0000,1.0000,1.0500,1.0000
2011-08-01,61.4300,0.0000,1.0000,1.0500,1.0000
2011-08-02,60.8700,0.0000,1.0000,1.0500,1.0000
2011-08-03,60.7300,0.0000,1.0000,1.0500,1.0000
2011-08-04,59.5800,0.0000,1.0000,1.0500,1.0000
2011-08-05,60.5900,0.0000,1.0000,1.0500,1.0000
2011-08-08,59.2900,0.0000,1.0000,1.0500,1.0000
2011-08-09,60.2200,0.0000,1.0000,1.0500,1.0000
2011-08-10,58.5100,0.0000,1.0000,1.0500,1.0000
2011-08-11,60.4500,0.0000,1.0000,1.0500,1.0000
2011-08-12,61.1400,0.0000,1.0000,1.0500,1.0000
2011-08-15,61.8800,0.0000,1.0000,1.0500,1.0000
2011-08-16,61.6200,0.0000,1.0000,1.0500,1.0000
2011-08-17,61.6700,0.0000,1.0000,1.0500,1.0000
2011-08-18,60.8600,0.0000,1.0000,1.0500,1.0000
2011-08-19,60.9600,0.0000,1.0000,1.0500,1.0000
2011-08-22,61.7100,0.0000,1.0000,1.0500,1.0000
2011-08-23,63.0200,0.0000,1.0000,1.0500,1.0000
2011-08-24,63.3100,0.0000,1.0000,1.0500,1.0000
2011-08-25,62.5300,0.0000,1.0000,1.0500,1.0000
2011-08-26,62.5700,0.0000,1.0000,1.0500,1.0000
2011-08-29,63.0900,0.0000,1.0000,1.0500,1.0000
2011-08-30,63.5000,0.0000,1.0000,1.0500,1.0000
2011-08-31,63.6800,0.0000,1.0000,1.0500,1.0000
2011-09-01,63.2600,0.0000,1.0000,1.0500,1.0000
2011-09-02,62.5500,0.0000,1.0000,1.0500,1.0000
2011-09-06,62.3800,0.0000,1.0000,1.0500,1.0000
2011-09-07,62.7200,0.0000,1.0000,1.0500,1.0000
2011-09-08,62.9100,0.0000,1.0000,1.0500,1.0000
2011-09-09,61.8400,0.0000,1.0000,1.0500,1.0000
2011-09-12,61.8300,0.0000,1.0000,1.0500,1.0000
2011-09-13,61.9400,0.0000,1.0000,1.0500,1.0000
2011-09-14,62.3400,0.0000,1.0000,1.0500,1.0000
2011-09-15,62.7800,0.0000,1.0000,1.0500,1.0000
2011-09-16,64.3300,0.0000,1.0000,1.0500,1.0000
2011-09-19,63.8100,0.0000,1.0000,1.0500,1.0000
2011-09-20,64.0800,0.0000,1.0000,1.0500,1.0000
2011-09-21,63.0200,0.0000,1.0000,1.0500,1.0000
2011-09-22,61.1700,0.0000,1.0000,1.0500,1.0000
2011-09-23,61.2500,0.0000,1.0000,1.0500,1.0000
2011-09-26,62.5400,0.0000,1.0000,1.0500,1.0000
2011-09-27,63.2600,0.0000,1.0000,1.0500,1.0000
2011-09-28,62.7100,0.0000,1.0000,1.0500,1.0000
2011-09-29,63.7000,0.0000,1.0000,1.0500,1.0000
2011-09-30,63.1800,0.0000,1.0000,1.0500,1.0000
2011-10-03,62.8400,0.0000,1.0000,1.0500,1.0000
2011-10-04,63.3700,0.0000,1.0000,1.0500,1.0000
2011-10-05,63.3400,0.0000,1.0000,1.0500,1.0000
2011-10-06,63.6100,0.0000,1.0000,1.0500,1.0000
2011-10-07,63.9100,0.0000,1.0000,1.0500,1.0000
2011-10-10,64.8000,0.0000,1.0000,1.0500,1.0000
2011-10-11,64.5700,0.0000,1.0000,1.0500,1.0000
2011-10-12,64.8900,0.0000,1.0000,1.0500,1.0000
2011-10-13,64.6500,0.0000,1.0000,1.0500,1.0000
2011-10-14,64.8900,0.0000,1.0000,1.0500,1.0000
2011-10-17,64.2600,0.0000,1.0000,1.0500,1.0000
2011-10-18,64.9200,0.0000,1.0000,1.0500,1.0000
2011-10-19,64.7500,0.5250,1.0000,1.5750,1.0000
2011-10-20,65.0900,0.0000,1.0000,1.5750,1.0000
2011-10-21,66.2600,0.0000,1.0000,1.5750,1.0000
2011-10-24,65.3700,0.0000,1.0000,1.5750,1.0000
2011-10-25,64.5100,0.0000,1.0000,1.5750,1.0000
2011-10-26,64.9500,0.0000,1.0000,1.5750,1.0000
2011-10-27,65.2600,0.0000,1.0000,1.5750,1.0000
2011-10-28,64.7300,0.0000,1.0000,1.5750,1.0000
2011-10-31,63.9900,0.0000,1.0000,1.5750,1.0000
2011-11-01,62.7100,0.0000,1.0000,1.5750,1.0000
2011-11-02,62.8600,0.0000,1.0000,1.5750,1.0000
2011-11-03,63.2100,0.0000,1.0000,1.5750,1.0000
2011-11-04,63.0300,0.0000,1.0000,1.5750,1.0000
2011-11-07,63.4600,0.0000,1.0000,1.5750,1.0000
2011-11-08,64.2100,0.0000,1.0000,1.5750,1.0000
2011-11-09,62.7200,0.0000,1.0000,1.5750,1.0000
2011-11-10,63.2400,0.0000,1.0000,1.5750,1.0000
2011-11-11,63.8900,0.0000,1.0000,1.5750,1.0000
2011-11-14,63.0500,0.0000,1.0000,1.5750,1.0000
2011-11-15,63.5600,0.0000,1.0000,1.5750,1.0000
2011-11-16,63.2800,0.0000,1.0000,1.5750,1.0000
2011-11-17,62.9400,0.0000,1.0000,1.5750,1.0000
2011-11-18,63.2400,0.0000,1.0000,1.5750,1.0000
2011-11-21,61.6600,0.0000,1.0000,1.5750,1.0000
2011-11-22,61.6900,0.0000,1.0000,1.5750,1.0000
2011-11-23,61.0600,0.0000,1.0000,1.5750,1.0000
2011-11-25,61.0000,0.0000,1.0000,1.5750,1.0000
2011-11-28,62.2400,0.0000,1.0000,1.5750,1.0000
2011-11-29,62.5300,0.0000,1.0000,1.5750,1.0000
2011-11-30,64.5700,0.0000,1.0000,1.5750,1.0000
2011-12-01,64.0800,0.0000,1.0000,1.5750,1.0000
2011-12-02,64.6600,0.0000,1.0000,1.5750,1.0000
2011-12-05,64.8400,0.0000,1.0000,1.5750,1.0000
2011-12-06,64.8400,0.0000,1.0000,1.5750,1.0000
2011-12-07,65.2300,0.0000,1.0000,1.5750,1.0000
2011-12-08,64.4700,0.0000,1.0000,1.5750,1.0000
2011-12-09,64.9700,0.0000,1.0000,1.5750,1.0000
2011-12-12,64.3100,0.0000,1.0000,1.5750,1.0000
2011-12-13,64.7300,0.0000,1.0000,1.5750,1.0000
2011-12-14,64.4500,0.0000,1.0000,1.5750,1.0000
2011-12-15,64.9900,0.0000,1.0000,1.5750,1.0000
2011-12-16,65.1400,0.0000,1.0000,1.5750,1.0000
2011-12-19,64.9500,0.0000,1.0000,1.5750,1.0000
2011-12-20,65.7900,0.0000,1.0000,1.5750,1.0000
2011-12-21,66.0000,0.0000,1.0000,1.5750,1.0000
2011-12-22,66.1900,0.0000,1.0000,1.5750,1.0000
2011-12-23,66.6500,0.0000,1.0000,1.5750,1.0000
2011-12-27,66.7900,0.0000,1.0000,1.5750,1.0000
2011-12-28,66.5400,0.0000,1.0000,1.5750,1.0000
2011-12-29,66.9700,0.0000,1.0000,1.5750,1.0000
2011-12-30,66.7100,0.0000,1.0000,1.5750,1.0000
2012-01-03,66.8300,0.0000,1.0000,1.5750,1.0000
2012-01-04,66.8000,0.0000,1.0000,1.5750,1.0000
2012-01-05,66.5200,0.0000,1.0000,1.5750,1.0000
2012-01-06,66.3600,0.0000,1.0000,1.5750,1.0000
2012-01-09,66.6400,0.0000,1.0000,1.5750,1.0000
2012-01-10,66.3300,0.0000,1.0000,1.5750,1.0000
2012-01-11,65.6800,0.0000,1.0000,1.5750,1.0000
2012-01-12,65.8100,0.0000,1.0000,1.5750,1.0000
2012-01-13,65.8100,0.0000,1.0000,1.5750,1.0000
2012-01-17,66.2600,0.0000,1.0000,1.5750,1.0000
2012-01-18,66.0300,0.5250,1.0000,2.1000,1.0000
2012-01-19,66.0800,0.0000,1.0000,2.1000,1.0000
2012-01-20,66.2300,0.0000,1.0000,2.1000,1.0000
2012-01-23,65.0000,0.0000,1.0000,2.1000,1.0000
2012-01-24,64.5000,0.0000,1.0000,2.1000,1.0000
2012-01-25,64.9800,0.0000,1.0000,2.1000,1.0000
2012-01-26,64.8000,0.0000,1.0000,2.1000,1.0000
2012-01-27,64.3000,0.0000,1.0000,2.1000,1.0000
2012-01-30,63.2100,0.0000,1.0000,2.1000,1.0000
2012-01-31,63.0400,0.0000,1.0000,2.1000,1.0000
2012-02-01,63.2100,0.0000,1.0000,2.1000,1.0000
2012-02-02,63.3200,0.0000,1.0000,2.1000,1.0000
2012-02-03,62.7700,0.0000,1.0000,2.1000,1.0000
2012-02-06,63.5100,0.0000,1.0000,2.1000,1.0000
2012-02-07,63.7000,0.0000,1.0000,2.1000,1.0000
2012-02-08,63.6400,0.0000,1.0000,2.1000,1.0000
2012-02-09,64.0400,0.0000,1.0000,2.1000,1.0000
2012-02-10,63.8800,0.0000,1.0000,2.1000,1.0000
2012-02-13,64.2300,0.0000,1.0000,2.1000,1.0000
2012-02-14,64.4800,0.0000,1.0000,2.1000,1.0000
2012-02-15,64.5500,0.0000,1.0000,2.1000,1.0000
2012-02-16,65.2000,0.0000,1.0000,2.1000,1.0000
2012-02-17,64.9100,0.0000,1.0000,2.1000,1.0000
2012-02-21,64.4200,0.0000,1.0000,2.1000,1.0000
2012-02-22,64.4400,0.0000,1.0000,2.1000,1.0000
2012-02-23,66.4200,0.0000,1.0000,2.1000,1.0000
2012-02-24,66.7100,0.0000,1.0000,2.1000,1.0000
2012-02-27,66.7000,0.0000,1.0000,2.1000,1.0000
2012-02-28,67.3900,0.0000,1.0000,2.1000,1.0000
2012-02-29,67.5200,0.0000,1.0000,2.1000,1.0000
2012-03-01,66.6600,0.0000,1.0000,2.1000,1.0000
2012-03-02,66.6700,0.0000,1.0000,2.1000,1.0000
2012-03-05,66.9500,0.0000,1.0000,2.1000,1.0000
2012-03-06,66.8400,0.0000,1.0000,2.1000,1.0000
2012-03-07,66.5800,0.0000,1.0000,2.1000,1.0000
2012-03-08,66.9000,0.0000,1.0000,2.1000,1.0000
2012-03-09,66.9300,0.0000,1.0000,2.1000,1.0000
2012-03-12,67.7100,0.0000,1.0000,2.1000,1.0000
2012-03-13,67.9000,0.0000,1.0000,2.1000,1.0000
2012-03-14,67.8500,0.0000,1.0000,2.1000,1.0000
2012-03-15,67.6800,0.0000,1.0000,2.1000,1.0000
2012-03-16,67.2500,0.0000,1.0000,2.1000,1.0000
2012-03-19,67.2100,0.0000,1.0000,2.1000,1.0000
2012-03-20,67.2100,0.0000,1.0000,2.1000,1.0000
2012-03-21,67.2000,0.0000,1.0000,2.1000,1.0000
2012-03-22,67.5200,0.0000,1.0000,2.1000,1.0000
2012-03-23,67.4300,0.0000,1.0000,2.1000,1.0000
2012-03-26,67.4600,0.0000,1.0000,2.1000,1.0000
