Date,CLOSE,Dividend,SplitFactor,CumulativeDividend,cum_factor
2011-02-16,83.6900,0.0000,1.0000,0.0000,1.0000
2011-02-17,83.8800,0.0000,1.0000,0.0000,1.0000
2011-02-18,84.5000,0.0000,1.0000,0.0000,1.0000
2011-02-22,85.4400,0.0000,1.0000,0.0000,1.0000
2011-02-23,87.0700,0.0000,1.0000,0.0000,1.0000
2011-02-24,85.9700,0.0000,1.0000,0.0000,1.0000
2011-02-25,85.3400,0.0000,1.0000,0.0000,1.0000
2011-02-28,85.5300,0.0000,1.0000,0.0000,1.0000
2011-03-01,84.8000,0.0000,1.0000,0.0000,1.0000
2011-03-02,85.0800,0.0000,1.0000,0.0000,1.0000
2011-03-03,85.8200,0.0000,1.0000,0.0000,1.0000
2011-03-04,85.0800,0.0000,1.0000,0.0000,1.0000
2011-03-07,84.7200,0.0000,1.0000,0.0000,1.0000
2011-03-08,84.6000,0.0000,1.0000,0.0000,1.0000
2011-03-09,84.3800,0.0000,1.0000,0.0000,1.0000
2011-03-10,81.3800,0.0000,1.0000,0.0000,1.0000
2011-03-11,82.1200,0.0000,1.0000,0.0000,1.0000
2011-03-14,82.3800,0.0000,1.0000,0.0000,1.0000
2011-03-15,81.3900,0.0000,1.0000,0.0000,1.0000
2011-03-16,79.3100,0.0000,1.0000,0.0000,1.0000
2011-03-17,81.1600,0.0000,1.0000,0.0000,1.0000
2011-03-18,80.8500,0.0000,1.0000,0.0000,1.0000
2011-03-21,82.8900,0.0000,1.0000,0.0000,1.0000
2011-03-22,82.5600,0.0000,1.0000,0.0000,1.0000
2011-03-23,82.6000,0.0000,1.0000,0.0000,1.0000
2011-03-24,82.7300,0.0000,1.0000,0.0000,1.0000
2011-03-25,83.6200,0.0000,1.0000,0.0000,1.0000
2011-03-28,83.4700,0.0000,1.0000,0.0000,1.0000
2011-03-29,83.2500,0.0000,1.0000,0.0000,1.0000
2011-03-30,84.4900,0.0000,1.0000,0.0000,1.0000
2011-03-31,84.1300,0.0000,1.0000,0.0000,1.0000
2011-04-01,84.6800,0.0000,1.0000,0.0000,1.0000
2011-04-04,84.8700,0.0000,1.0000,0.0000,1.0000
2011-04-05,85.4200,0.0000,1.0000,0.0000,1.0000
2011-04-06,85.1800,0.0000,1.0000,0.0000,1.0000
2011-04-07,85.7600,0.0000,1.0000,0.0000,1.0000
2011-04-08,85.9500,0.0000,1.0000,0.0000,1.0000
2011-04-11,85.1600,0.0000,1.0000,0.0000,1.0000
2011-04-12,83.1800,0.0000,1.0000,0.0000,1.0000
2011-04-13,83.1600,0.0000,1.0000,0.0000,1.0000
2011-04-14,83.4400,0.0000,1.0000,0.0000,1.0000
2011-04-15,84.2900,0.0000,1.0000,0.0000,1.0000
2011-04-18,83.1000,0.0000,1.0000,0.0000,1.0000
2011-04-19,83.8000,0.0000,1.0000,0.0000,1.0000
2011-04-20,85.6500,0.0000,1.0000,0.0000,1.0000
2011-04-21,86.3600,0.0000,1.0000,0.0000,1.0000
2011-04-25,86.2200,0.0000,1.0000,0.0000,1.0000
